"battery_power";"blue";"clock_speed";"dual_sim";"fc";"four_g";"int_memory";"m_dep";"mobile_wt";"n_cores";"pc";"ram";"sc_h";"sc_w";"touch_screen";"wifi";"price_range"
1571;0;1,4;0;0;1;19;0,1;100;6;1;666;12;10;1;0;"0:baixo"
1414;0;2;1;2;0;54;0,8;99;7;3;3799;17;7;0;1;"3:muito caro"
1790;0;2,5;1;9;0;2;0,1;184;1;14;1366;7;0;1;1;"1:médio"
645;0;0,5;0;1;0;41;1;197;7;10;2962;12;9;1;1;"2:caro"
668;0;2,9;1;7;0;30;0,2;195;8;12;2399;10;5;1;1;"1:médio"
1652;1;1,1;1;1;0;36;0,7;89;4;5;2338;12;8;0;0;"2:caro"
1213;1;0,5;0;0;0;16;0,5;108;5;0;2700;12;3;0;1;"2:caro"
1272;1;2,5;1;0;0;22;0,9;133;6;8;2235;19;4;0;0;"1:médio"
866;0;0,5;1;5;1;46;0,5;179;8;7;3825;12;11;1;1;"3:muito caro"
536;0;2,4;1;12;1;3;0,3;182;7;14;284;12;9;1;0;"0:baixo"
523;0;2,6;1;1;0;14;0,1;155;8;2;1427;9;1;1;0;"0:baixo"
1753;0;0,5;1;0;1;31;0,1;134;1;18;1324;17;0;0;1;"2:caro"
1218;0;1,8;1;1;1;14;0,5;147;3;4;398;17;0;0;0;"0:baixo"
1537;1;2,5;0;4;1;43;0,3;137;1;5;3685;18;17;1;1;"3:muito caro"
786;0;2,2;1;0;0;33;0,5;141;7;6;2390;12;11;0;1;"2:caro"
1678;0;2,1;0;3;1;64;0,9;134;3;11;278;19;0;1;0;"0:baixo"
1814;0;1,4;1;1;1;9;0,4;141;2;2;3556;18;12;0;0;"3:muito caro"
1101;0;1,8;0;0;0;31;0,2;148;2;7;2196;12;6;1;1;"1:médio"
1461;0;2,4;1;3;1;40;0,5;141;7;4;3799;16;1;0;0;"3:muito caro"
1216;0;3;0;4;0;47;0,4;199;3;7;2268;13;5;1;1;"2:caro"
506;0;1,6;0;6;1;41;0,8;159;1;7;2965;13;10;0;0;"2:caro"
843;1;0,5;0;1;1;56;0,1;147;5;17;2341;10;1;1;1;"1:médio"
742;0;2,2;1;4;0;56;0,2;190;7;14;3557;16;11;1;1;"3:muito caro"
1692;1;2,1;0;3;1;61;0,9;176;6;12;1354;16;7;0;0;"1:médio"
1485;0;1;0;2;1;32;0,7;84;2;9;2147;19;1;1;0;"2:caro"
1547;0;2,9;1;6;0;45;0,7;166;2;8;505;12;2;1;1;"0:baixo"
1692;0;2,3;1;4;1;46;0,9;139;1;6;1394;16;10;1;0;"1:médio"
637;0;2,3;0;3;1;60;0,8;97;4;4;374;18;4;0;1;"0:baixo"
1224;0;0,5;0;16;1;6;0,4;109;6;18;506;10;0;1;1;"0:baixo"
1356;0;2,8;0;0;0;29;0,5;198;6;0;3702;17;0;0;0;"3:muito caro"
1840;0;0,5;1;12;0;34;0,7;142;1;16;1078;8;0;0;0;"1:médio"
1481;1;0,7;1;4;1;37;0,6;96;5;13;2945;10;5;1;1;"2:caro"
961;1;1,5;1;10;0;51;0,3;152;6;16;2981;15;6;1;1;"2:caro"
1296;0;0,9;1;0;1;14;0,5;124;5;3;490;7;1;1;1;"0:baixo"
1193;0;0,9;0;11;0;26;0,5;166;1;20;536;17;14;0;1;"0:baixo"
1441;0;2,1;1;11;1;3;0,1;118;8;17;2317;16;4;0;1;"2:caro"
517;0;1,4;1;3;1;33;0,8;183;4;8;3704;17;16;0;1;"3:muito caro"
748;1;1,7;0;0;1;27;0,9;150;8;4;2126;18;9;0;0;"1:médio"
1126;1;2,4;0;2;1;10;0,4;160;6;3;2050;7;6;1;1;"2:caro"
1572;0;0,6;0;0;1;58;0,2;157;7;8;2462;12;8;0;0;"3:muito caro"
1569;0;2,8;1;17;0;44;0,3;110;4;20;1260;9;2;0;0;"1:médio"
1270;1;0,6;1;2;1;32;0,5;101;7;6;3770;5;3;1;0;"3:muito caro"
1854;0;3;0;2;1;8;0,1;101;5;5;1886;17;4;1;0;"1:médio"
625;1;1,2;1;5;1;10;0,2;183;4;8;3323;9;1;1;1;"2:caro"
1577;0;0,5;1;0;1;42;0,3;197;5;4;2060;19;6;0;0;"2:caro"
534;0;0,5;1;0;1;16;1;189;5;1;3926;16;12;0;0;"3:muito caro"
946;0;1,7;1;8;1;25;0,8;143;6;15;2177;7;5;1;1;"2:caro"
685;0;0,5;0;2;0;29;0,8;93;7;10;728;14;8;0;1;"0:baixo"
1949;0;1,3;1;0;0;23;0,1;101;5;1;2478;14;8;0;0;"3:muito caro"
947;0;0,8;1;0;1;22;0,1;197;2;13;2842;16;12;0;0;"2:caro"
801;1;2,2;1;2;0;63;0,4;165;7;4;1617;17;4;0;1;"1:médio"
703;1;2,7;0;12;1;30;0,3;113;1;20;1472;14;7;0;0;"0:baixo"
1165;1;2,4;0;11;0;41;0,2;178;6;12;764;19;12;0;0;"0:baixo"
1082;0;0,8;0;0;0;38;0,1;198;8;5;2337;6;1;1;1;"2:caro"
959;1;2,6;1;15;0;20;1;84;4;19;3965;16;1;0;0;"3:muito caro"
1502;1;1,2;0;0;0;54;0,2;138;5;12;3693;17;14;1;0;"3:muito caro"
1380;1;2,1;1;1;1;4;0,8;92;3;13;797;13;2;1;0;"0:baixo"
1266;0;0,5;0;0;1;5;0,1;95;6;9;1687;11;0;0;0;"2:caro"
1934;1;2,6;1;0;1;46;0,1;103;1;17;2940;13;9;1;1;"3:muito caro"
1905;1;0,5;0;3;1;6;0,5;151;1;5;1545;9;5;1;0;"1:médio"
1831;0;1,4;1;2;0;43;0,9;150;5;5;3834;17;7;1;1;"3:muito caro"
596;0;1,4;0;8;0;46;0,6;165;1;18;2505;15;4;1;0;"1:médio"
1562;1;1,3;1;1;1;7;0,2;190;5;15;2243;12;10;0;0;"2:caro"
1490;1;0,5;1;4;1;64;0,3;150;8;8;3600;17;9;1;1;"3:muito caro"
1523;1;2,4;0;5;1;57;0,2;117;2;6;3971;18;12;1;1;"3:muito caro"
640;0;0,6;0;0;0;20;0,1;163;4;15;2844;7;5;1;0;"2:caro"
1526;0;2,1;0;1;1;23;0,2;117;7;8;2227;18;10;1;0;"2:caro"
1989;0;2,5;1;0;1;41;0,8;94;3;13;1665;17;9;1;1;"2:caro"
1308;0;1,9;0;0;1;61;0,7;106;3;7;3355;15;2;0;1;"3:muito caro"
609;0;0,5;0;3;0;26;0,3;93;4;4;1866;11;10;1;1;"1:médio"
1905;0;0,6;1;9;1;36;0,4;119;3;20;1287;13;4;0;0;"1:médio"
1703;1;0,5;0;0;1;22;0,6;192;1;0;1046;5;4;0;1;"0:baixo"
1445;1;2,4;1;7;1;20;0,4;173;7;15;1441;7;4;1;1;"1:médio"
1087;0;1,3;0;0;1;16;0,3;166;3;9;690;14;6;0;1;"0:baixo"
671;0;0,9;1;10;0;30;0,7;105;7;17;2504;6;4;0;0;"2:caro"
1472;1;2,3;0;6;0;61;0,1;168;6;19;2677;19;15;0;0;"2:caro"
765;0;0,5;1;0;1;47;0,3;115;8;1;2243;11;7;0;1;"2:caro"
1642;0;0,5;1;16;1;8;0,3;171;6;17;2984;13;4;0;1;"2:caro"
1265;0;1,5;0;7;0;49;0,7;182;5;16;1362;5;0;0;1;"1:médio"
664;1;1,1;1;1;1;51;0,1;110;7;4;3629;19;15;1;1;"3:muito caro"
1277;1;0,5;1;0;1;35;0,4;142;6;6;3559;18;17;1;0;"3:muito caro"
1395;0;1,8;1;0;0;23;0,1;111;3;1;2571;11;0;0;1;"2:caro"
1539;1;2,6;0;0;0;41;0,1;159;8;0;2107;15;9;0;1;"2:caro"
1049;1;2,2;0;9;0;63;0,5;135;5;17;1022;11;3;0;0;"0:baixo"
1827;0;1,7;0;4;1;39;0,5;128;5;16;2844;14;9;1;0;"2:caro"
903;0;1;1;0;1;50;0,4;91;1;0;711;9;5;1;0;"0:baixo"
1987;1;0,5;0;3;1;53;1;181;3;7;3117;18;5;1;1;"3:muito caro"
1154;0;1,2;1;0;1;49;0,2;181;8;2;978;5;3;0;1;"0:baixo"
1336;0;0,9;0;5;1;17;0,2;194;5;9;1869;13;1;1;1;"1:médio"
1886;0;0,5;0;0;1;24;0,4;112;3;1;1179;16;7;0;1;"1:médio"
1551;0;1,1;0;4;0;51;0,1;88;5;6;3844;11;8;1;0;"3:muito caro"
850;1;1,6;1;6;1;29;0,5;133;5;19;593;19;17;0;1;"0:baixo"
660;0;0,5;0;5;1;40;0,5;111;2;10;588;6;5;1;1;"0:baixo"
1225;1;2,1;1;8;0;13;0,5;116;4;12;3836;12;11;0;0;"3:muito caro"
1452;1;0,5;1;1;1;25;0,9;123;6;11;2669;12;10;0;0;"2:caro"
1686;1;2,8;1;3;0;38;0,1;166;4;4;2958;14;11;0;0;"3:muito caro"
1634;1;1,4;0;1;1;17;0,2;200;2;5;3031;11;6;1;1;"3:muito caro"
1708;1;2,4;1;18;1;49;0,1;109;1;19;3388;6;4;1;1;"3:muito caro"
1151;1;2,9;1;0;0;31;0,6;128;8;1;2377;18;8;1;0;"2:caro"
1578;0;1,9;1;2;1;37;0,1;138;4;19;2458;19;16;0;1;"2:caro"
1689;0;1,8;0;17;0;24;0,3;127;3;18;2766;7;2;1;1;"3:muito caro"
1488;0;0,5;0;1;0;39;0,8;112;5;6;3054;14;10;0;0;"3:muito caro"
1313;1;1,8;1;4;0;9;0,4;105;1;6;3791;11;10;1;1;"3:muito caro"
1715;0;1;1;4;1;31;0,5;83;8;17;625;17;6;0;0;"0:baixo"
1442;0;1;1;0;0;27;0,1;192;3;19;2227;6;5;1;0;"1:médio"
528;0;1,7;0;12;1;6;0,8;142;2;15;3256;9;8;1;0;"2:caro"
1523;1;1,8;0;6;1;11;0,1;129;1;8;707;19;8;1;0;"0:baixo"
1133;0;1,4;0;3;0;42;0,1;199;5;12;1457;18;12;0;1;"1:médio"
1718;1;2,5;1;14;1;6;0,1;183;5;16;3755;7;1;1;1;"3:muito caro"
1330;0;0,5;0;0;0;38;1;183;7;1;1733;9;0;0;1;"1:médio"
1799;1;0,5;0;0;0;49;0,4;107;4;2;720;12;2;1;1;"0:baixo"
633;1;2,2;0;0;1;49;0,1;139;8;1;3560;11;1;1;1;"2:caro"
724;0;2,7;1;0;0;44;0,5;187;7;0;2311;7;6;0;0;"2:caro"
822;1;0,5;0;0;1;51;0,3;157;6;20;3846;10;1;0;0;"3:muito caro"
1918;0;1,9;0;2;0;10;0,6;110;5;10;1717;7;1;1;1;"2:caro"
1891;0;2,8;0;7;1;37;0,4;129;7;14;3704;8;6;0;0;"3:muito caro"
1373;1;1;1;2;0;50;0,2;127;7;12;3800;8;3;0;0;"3:muito caro"
862;1;0,8;1;3;0;23;0,4;165;2;15;278;16;3;0;1;"0:baixo"
1273;0;1;0;3;1;48;0,4;99;4;15;1767;18;15;1;0;"1:médio"
957;1;2,5;0;4;0;7;0,8;107;5;10;1846;12;5;0;1;"1:médio"
1617;1;1,3;1;3;1;30;0,7;105;2;4;829;9;0;0;0;"0:baixo"
893;0;2,5;1;0;0;55;0,6;183;2;1;2986;7;1;1;1;"2:caro"
1210;0;0,5;0;0;0;63;0,1;93;5;0;2394;17;9;0;0;"2:caro"
708;1;2,7;1;0;1;63;1;195;8;7;2169;6;5;1;1;"1:médio"
835;0;1,1;1;2;0;7;0,2;101;4;7;1181;13;5;1;1;"0:baixo"
1450;1;2,7;1;9;0;19;0,6;131;1;17;575;15;9;0;0;"0:baixo"
973;1;1,5;0;5;1;57;0,2;190;7;16;2977;6;4;0;0;"2:caro"
601;1;1,4;0;4;1;4;0,1;154;4;13;532;12;8;1;1;"0:baixo"
507;1;0,5;1;1;0;32;0,5;141;7;11;1702;17;0;1;1;"1:médio"
564;0;1,8;1;0;1;51;0,5;168;3;1;1074;14;8;1;0;"0:baixo"
1559;1;1,6;1;6;1;6;0,5;162;6;17;3352;9;1;1;1;"3:muito caro"
754;0;0,5;1;7;1;59;0,7;178;7;10;1027;6;3;0;0;"1:médio"
728;0;2,7;1;0;0;25;0,2;88;4;1;2039;5;1;1;1;"1:médio"
1431;1;0,5;0;0;1;56;0,6;191;1;1;461;7;3;0;0;"0:baixo"
767;0;1,5;0;4;0;28;0,7;175;4;10;527;10;0;1;0;"0:baixo"
1722;0;2,6;0;8;0;18;0,8;177;2;16;3271;14;0;0;1;"3:muito caro"
1992;1;1,6;0;5;1;57;1;100;2;15;606;9;3;1;1;"1:médio"
1876;0;0,5;0;10;1;40;0,3;86;6;14;2513;10;8;1;0;"3:muito caro"
1054;0;1,1;1;10;1;38;0,4;136;6;12;1675;18;4;1;1;"1:médio"
1283;1;1,6;1;4;0;47;0,9;93;5;5;2698;9;6;1;0;"2:caro"
1281;1;2,3;1;0;0;28;0,3;148;1;6;1129;12;1;1;0;"1:médio"
1066;0;0,6;0;2;1;7;0,9;114;7;18;468;19;13;1;0;"0:baixo"
730;0;2,1;1;0;1;4;0,1;89;8;2;1210;19;15;1;1;"0:baixo"
1053;1;0,8;1;7;1;45;0,3;103;1;12;3086;17;6;1;1;"3:muito caro"
1611;1;0,5;1;11;0;3;0,6;98;3;14;1595;8;4;0;1;"1:médio"
793;0;1;1;5;1;30;0,9;133;2;15;2332;17;13;1;1;"2:caro"
1220;0;2,9;0;3;0;62;0,5;125;4;8;2589;19;11;1;1;"2:caro"
1662;0;0,5;0;0;1;61;0,8;126;4;13;3760;9;5;1;1;"3:muito caro"
1281;1;2,8;1;3;1;8;0,3;144;4;19;1851;8;2;1;0;"1:médio"
538;0;0,8;0;12;1;2;0,8;177;7;13;417;8;4;0;1;"0:baixo"
823;1;0,5;0;0;0;39;0,4;187;8;4;294;13;9;0;1;"0:baixo"
1733;1;2,8;0;3;1;36;1;119;6;20;3576;17;16;0;0;"3:muito caro"
1429;0;1,5;1;0;1;40;0,9;100;3;14;3945;11;7;0;1;"3:muito caro"
1839;1;1,2;0;9;1;54;0,5;200;7;11;927;19;10;0;1;"1:médio"
659;0;2,7;0;6;1;6;0,5;110;3;7;2044;15;5;0;1;"1:médio"
1953;1;2,1;1;7;0;56;0,1;158;8;9;2334;11;5;0;0;"2:caro"
1172;0;1,9;0;0;1;27;0,7;164;1;3;1477;12;0;0;0;"1:médio"
612;1;1,9;1;6;0;16;0,3;102;7;7;3161;8;4;0;0;"3:muito caro"
1563;0;2,4;0;0;1;24;0,2;170;8;0;3660;7;5;1;0;"3:muito caro"
1191;0;1,3;1;16;1;26;0,8;84;1;20;1604;14;3;0;1;"1:médio"
615;1;0,5;1;0;0;42;0,6;163;6;4;2211;7;4;0;1;"1:médio"
1893;1;2,1;1;8;0;63;0,2;134;2;11;3822;14;3;1;1;"3:muito caro"
1563;0;1,7;1;10;0;16;0,1;151;7;13;3922;11;1;0;1;"3:muito caro"
1995;1;1,9;0;6;0;9;0,8;139;6;18;1203;14;12;1;1;"2:caro"
1517;0;0,5;0;6;1;48;0,6;143;5;14;2822;15;5;1;1;"3:muito caro"
832;0;1,6;1;1;1;34;0,3;108;5;5;447;15;13;1;0;"0:baixo"
1162;0;2;0;0;1;56;0,7;114;7;1;1652;5;0;0;0;"1:médio"
1595;1;2,6;0;7;0;12;0,3;121;8;19;3608;15;1;1;0;"3:muito caro"
1329;1;1;0;1;0;52;0,9;181;6;2;1228;8;6;0;1;"1:médio"
928;1;0,5;1;11;0;56;0,7;80;8;13;666;19;10;1;0;"0:baixo"
1656;1;0,5;1;8;1;38;0,1;105;7;17;1499;12;8;0;1;"1:médio"
1937;1;1,7;0;17;0;58;0,6;189;1;19;3321;5;4;1;0;"3:muito caro"
977;1;1,1;1;2;0;57;0,6;181;6;7;1206;7;1;1;1;"0:baixo"
768;1;0,9;0;16;1;56;0,1;113;1;20;952;19;3;0;1;"0:baixo"
1464;1;0,5;1;11;0;12;0,9;117;2;14;3927;5;3;1;1;"3:muito caro"
1177;0;0,9;0;1;1;29;0,4;191;2;8;311;18;5;0;0;"0:baixo"
1348;0;2;0;18;0;52;0,3;98;3;20;955;18;11;1;1;"1:médio"
